City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Dergachi,RU,2020-10-24 17:17:24,51.23,48.77,52.5,81,95,6.67,overcast clouds
116,Quatre Cocos,MU,2020-10-24 17:17:24,-20.21,57.76,73.4,73,75,11.41,broken clouds
117,Tasiilaq,GL,2020-10-24 17:17:25,65.61,-37.64,33.8,80,75,3.51,broken clouds
118,Bulgan,MN,2020-10-24 17:17:25,48.81,103.53,32.47,91,92,2.17,overcast clouds
119,Poum,NC,2020-10-24 17:17:25,-20.23,164.02,76.15,80,68,16.44,broken clouds
120,Naryan-Mar,RU,2020-10-24 17:17:25,67.67,53.09,20.97,89,99,13.62,overcast clouds
121,Santa Lucia,ES,2020-10-24 17:17:25,27.91,-15.54,75.0,56,20,18.34,few clouds
122,El Paujil,CO,2020-10-24 17:17:25,1.57,-75.33,88.5,58,42,2.08,scattered clouds
123,Marystown,CA,2020-10-24 17:17:25,47.17,-55.15,54.0,100,100,7.0,overcast clouds
124,Norman Wells,CA,2020-10-24 17:17:26,65.28,-126.83,12.2,92,20,4.7,few clouds
125,Oneonta,US,2020-10-24 17:13:59,42.45,-75.06,50.0,80,100,1.99,overcast clouds
126,La Ronge,CA,2020-10-24 17:17:26,55.1,-105.28,23.0,67,90,13.87,light snow
127,Sao Gabriel Da Cachoeira,BR,2020-10-24 17:17:26,-0.13,-67.09,94.28,45,19,3.8,few clouds
128,Sakakah,SA,2020-10-24 17:17:26,29.97,40.21,80.6,11,0,5.82,clear sky
129,Khasan,RU,2020-10-24 17:17:26,42.43,130.64,47.1,52,0,22.3,clear sky
130,Arraial Do Cabo,BR,2020-10-24 17:17:26,-22.97,-42.03,75.2,78,75,19.46,broken clouds
131,Nadym,RU,2020-10-24 17:17:26,65.53,72.52,15.76,95,89,8.21,overcast clouds
132,Saint George,US,2020-10-24 17:17:26,37.1,-113.58,64.0,41,1,0.83,clear sky
133,Avera,US,2020-10-24 17:17:27,33.19,-82.53,81.0,61,1,3.36,clear sky
134,Souillac,MU,2020-10-24 17:17:27,-20.52,57.52,73.4,73,75,11.41,broken clouds
135,Nabire,ID,2020-10-24 17:17:27,-3.37,135.48,75.88,85,100,3.91,light rain
136,Naze,JP,2020-10-24 17:17:27,28.37,129.48,69.8,64,75,11.41,broken clouds
137,Muisne,EC,2020-10-24 17:17:27,0.6,-80.03,80.6,78,90,4.7,overcast clouds
138,Grand Gaube,MU,2020-10-24 17:17:27,-20.01,57.66,71.01,80,27,5.99,light rain
139,Paracuru,BR,2020-10-24 17:17:27,-3.41,-39.03,82.0,74,22,23.0,few clouds
140,Henties Bay,NA,2020-10-24 17:17:27,-22.12,14.28,59.0,89,59,1.01,broken clouds
141,Khatanga,RU,2020-10-24 17:17:27,71.97,102.5,8.55,95,100,16.08,light snow
142,Moyale,KE,2020-10-24 17:17:27,3.52,39.06,72.93,68,78,7.18,light rain
143,Cockburn Town,TC,2020-10-24 17:13:04,21.46,-71.14,86.0,74,75,14.99,broken clouds
144,Shenjiamen,CN,2020-10-24 17:17:28,29.96,122.3,60.51,63,4,6.22,clear sky
145,Fort Oglethorpe,US,2020-10-24 17:17:28,34.95,-85.26,71.6,78,90,6.93,overcast clouds
146,Ketchikan,US,2020-10-24 17:17:28,55.34,-131.65,39.2,50,1,4.7,clear sky
147,Talnakh,RU,2020-10-24 17:12:37,69.49,88.4,12.2,92,75,15.66,light shower snow
148,Nalut,LY,2020-10-24 17:17:28,30.33,10.85,78.01,23,0,5.3,clear sky
149,Cayenne,GF,2020-10-24 17:17:28,4.93,-52.33,89.6,59,75,16.11,broken clouds
150,Katsuura,JP,2020-10-24 17:17:28,35.13,140.3,59.0,54,0,16.11,clear sky
151,Oak Ridge,US,2020-10-24 17:17:28,36.01,-84.27,70.0,88,90,3.36,overcast clouds
152,Shelburne,CA,2020-10-24 17:15:02,44.08,-80.2,45.0,71,40,6.93,scattered clouds
153,Avarua,CK,2020-10-24 17:17:29,-21.21,-159.78,71.6,83,55,6.93,broken clouds
154,Nouakchott,MR,2020-10-24 17:17:29,18.09,-15.98,93.2,38,84,10.29,broken clouds
155,Kotovo,RU,2020-10-24 17:17:29,50.32,44.8,57.18,72,99,4.12,overcast clouds
156,Namibe,AO,2020-10-24 17:17:29,-15.2,12.15,69.71,80,46,8.61,scattered clouds
157,Caruray,PH,2020-10-24 17:17:29,10.31,119.01,78.64,79,100,6.51,moderate rain
158,Aras,ES,2020-10-24 17:17:29,42.56,-2.36,60.8,59,0,3.36,clear sky
159,Maniitsoq,GL,2020-10-24 17:17:29,65.42,-52.9,25.18,87,0,9.08,clear sky
160,Makakilo City,US,2020-10-24 17:17:29,21.35,-158.09,77.0,94,75,3.36,broken clouds
161,Tilichiki,RU,2020-10-24 17:17:29,60.47,166.1,28.53,97,0,4.45,clear sky
162,Camacha,PT,2020-10-24 17:17:29,33.08,-16.33,69.8,60,40,13.87,scattered clouds
163,Mingguang,CN,2020-10-24 17:17:30,32.78,117.96,53.47,57,11,4.76,light rain
164,Torbat-E Jam,IR,2020-10-24 17:17:30,35.24,60.62,46.0,55,0,6.15,clear sky
165,Westport,US,2020-10-24 17:17:30,41.14,-73.36,64.99,88,90,12.75,overcast clouds
166,Morlaix,FR,2020-10-24 17:17:30,48.58,-4.0,55.4,93,75,20.8,moderate rain
167,Klaksvik,FO,2020-10-24 17:17:30,62.23,-6.59,48.2,76,59,17.22,light rain
168,Safaga,EG,2020-10-24 17:17:30,26.73,33.94,82.4,45,0,9.17,clear sky
169,Pemberton,CA,2020-10-24 17:17:30,50.32,-122.8,26.6,49,5,2.24,clear sky
170,Koumac,NC,2020-10-24 17:17:30,-20.57,164.28,74.25,80,60,4.18,broken clouds
171,Vero Beach,US,2020-10-24 17:16:56,27.64,-80.4,82.99,74,75,13.87,broken clouds
172,Torbay,CA,2020-10-24 17:17:30,47.67,-52.73,48.99,76,75,24.16,broken clouds
173,Porto Walter,BR,2020-10-24 17:16:47,-8.27,-72.74,97.99,34,20,4.54,few clouds
174,Xinzhou,CN,2020-10-24 17:17:31,38.41,112.73,52.7,41,98,0.43,overcast clouds
175,Egvekinot,RU,2020-10-24 17:17:31,66.32,-179.17,22.14,96,60,6.89,broken clouds
176,Mitchell,US,2020-10-24 17:17:31,43.71,-98.03,24.8,73,90,5.82,overcast clouds
177,Saint-Philippe,RE,2020-10-24 17:16:06,-21.36,55.77,73.4,68,0,11.41,clear sky
178,Husavik,IS,2020-10-24 17:17:31,66.04,-17.34,41.0,75,75,24.16,broken clouds
179,Yanaul,RU,2020-10-24 17:17:31,56.27,54.93,43.57,94,100,8.63,overcast clouds
180,Bayji,IQ,2020-10-24 17:17:31,34.93,43.49,74.1,19,0,5.61,clear sky
181,Haines Junction,CA,2020-10-24 17:17:31,60.75,-137.51,18.55,82,30,0.58,scattered clouds
182,Narsaq,GL,2020-10-24 17:17:32,60.92,-46.05,33.8,64,20,2.24,few clouds
183,Saint Anthony,US,2020-10-24 17:12:46,45.02,-93.22,30.0,68,90,5.82,overcast clouds
184,Surt,LY,2020-10-24 17:17:32,31.21,16.59,70.68,68,0,7.7,clear sky
185,Chokurdakh,RU,2020-10-24 17:17:32,70.63,147.92,11.86,97,89,7.83,overcast clouds
186,Namatanai,PG,2020-10-24 17:17:32,-3.67,152.43,79.36,77,2,1.52,clear sky
187,Uberaba,BR,2020-10-24 17:17:32,-19.75,-47.93,75.31,76,87,13.22,moderate rain
188,Saldanha,ZA,2020-10-24 17:17:32,-33.01,17.94,64.4,72,2,6.93,clear sky
189,Saint-Augustin,CA,2020-10-24 17:17:32,51.23,-58.65,43.9,79,100,16.15,overcast clouds
190,Hauterive,FR,2020-10-24 17:17:32,46.09,3.45,57.2,62,0,3.36,clear sky
191,Katangli,RU,2020-10-24 17:17:32,51.71,143.23,41.58,85,50,11.01,scattered clouds
192,Christchurch,NZ,2020-10-24 17:17:13,-43.53,172.63,57.0,93,26,10.76,scattered clouds
193,Velikiy Ustyug,RU,2020-10-24 17:17:33,60.76,46.31,31.71,96,84,8.97,snow
194,Cap Malheureux,MU,2020-10-24 17:17:33,-19.98,57.61,71.01,80,18,5.99,light rain
195,Halifax,CA,2020-10-24 17:16:57,44.65,-63.57,55.0,97,100,1.99,overcast clouds
196,Honiara,SB,2020-10-24 17:17:33,-9.43,159.95,71.6,100,20,4.7,few clouds
197,Parry Sound,CA,2020-10-24 17:17:33,45.35,-80.03,39.99,72,53,6.44,broken clouds
198,Tateyama,JP,2020-10-24 17:17:33,34.98,139.87,59.0,54,0,16.11,clear sky
199,Itarema,BR,2020-10-24 17:17:33,-2.92,-39.92,87.31,60,57,18.59,broken clouds
200,East London,ZA,2020-10-24 17:17:33,-33.02,27.91,73.4,73,0,5.82,clear sky
201,Kaitangata,NZ,2020-10-24 17:17:33,-46.28,169.85,52.99,74,100,4.7,overcast clouds
202,Itoman,JP,2020-10-24 17:17:33,26.12,127.67,69.8,56,75,3.36,broken clouds
203,Gambela,ET,2020-10-24 17:17:34,8.25,34.58,75.25,88,89,2.98,light rain
204,Lebu,CL,2020-10-24 17:17:34,-37.62,-73.65,52.11,89,100,3.83,overcast clouds
205,Arambagh,IN,2020-10-24 17:17:34,22.88,87.78,75.04,86,25,3.47,scattered clouds
206,Solnechnyy,RU,2020-10-24 17:17:34,50.72,136.63,36.77,92,100,16.11,light rain
207,Waipawa,NZ,2020-10-24 17:17:34,-41.41,175.52,59.0,100,36,20.8,scattered clouds
208,Nelson Bay,AU,2020-10-24 17:17:34,-32.72,152.15,63.0,93,90,14.99,overcast clouds
209,Severo-Kurilsk,RU,2020-10-24 17:17:34,50.68,156.12,46.78,91,100,29.33,heavy intensity rain
210,Tshane,BW,2020-10-24 17:17:34,-24.02,21.87,89.11,15,48,6.42,scattered clouds
211,Ulladulla,AU,2020-10-24 17:13:22,-35.35,150.47,53.6,100,90,8.05,overcast clouds
212,Shamary,RU,2020-10-24 17:17:35,57.34,58.22,34.09,96,100,0.76,overcast clouds
213,Jiuquan,CN,2020-10-24 17:17:35,39.74,98.52,46.4,43,96,7.61,overcast clouds
214,Lydenburg,ZA,2020-10-24 17:17:35,-25.1,30.46,71.01,36,39,3.0,scattered clouds
215,Gat,IL,2020-10-24 17:17:35,31.61,34.76,79.0,78,40,8.05,scattered clouds
216,Auki,SB,2020-10-24 17:17:35,-8.77,160.7,77.83,84,93,2.71,overcast clouds
217,Butaritari,KI,2020-10-24 17:17:35,3.07,172.79,81.88,69,100,6.64,overcast clouds
218,Tighina,MD,2020-10-24 17:17:35,46.83,29.47,59.0,82,0,3.36,light rain
219,Neuquen,AR,2020-10-24 17:17:35,-38.95,-68.06,78.8,29,0,5.82,clear sky
220,Great Falls,US,2020-10-24 17:17:04,47.5,-111.3,14.0,78,90,19.46,light snow
221,Kodiak,US,2020-10-24 17:17:35,57.79,-152.41,42.8,87,20,4.54,few clouds
222,Singapore,SG,2020-10-24 17:12:42,1.29,103.85,82.4,88,75,2.24,broken clouds
223,Baiyin,CN,2020-10-24 17:17:36,36.56,104.21,57.99,36,0,4.47,clear sky
224,Den Helder,NL,2020-10-24 17:17:36,52.96,4.76,59.0,77,90,19.46,overcast clouds
