City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Peleduy,RU,2020-10-22 23:15:42,59.63,112.74,30.38,94,100,6.73
115,Pochutla,MX,2020-10-22 23:15:42,15.74,-96.47,84.2,74,75,11.41
116,Tasiilaq,GL,2020-10-22 23:15:42,65.61,-37.64,39.2,44,100,28.86
117,Severo-Yeniseyskiy,RU,2020-10-22 23:15:42,60.37,93.04,25.09,95,98,13.38
118,Geraldton,AU,2020-10-22 23:14:37,-28.77,114.6,53.6,81,0,8.05
119,Pangnirtung,CA,2020-10-22 23:15:42,66.15,-65.71,26.6,92,90,2.24
120,Kismayo,SO,2020-10-22 23:15:43,-0.36,42.55,79.63,83,69,14.43
121,Ancud,CL,2020-10-22 23:15:43,-41.87,-73.82,59.0,54,68,5.82
122,Hasaki,JP,2020-10-22 23:12:37,35.73,140.83,63.0,100,75,2.24
123,Egvekinot,RU,2020-10-22 23:15:43,66.32,-179.17,29.64,95,25,4.09
124,Mosetse,BW,2020-10-22 23:11:08,-20.75,26.65,72.68,40,0,13.22
125,Maxixe,MZ,2020-10-22 23:15:43,-23.86,35.35,70.63,79,67,7.34
126,Georgetown,MY,2020-10-22 23:15:10,5.41,100.34,78.01,83,20,2.24
127,Victoria,HK,2020-10-22 23:15:24,22.29,114.16,73.0,57,100,1.01
128,Bonavista,CA,2020-10-22 23:15:43,48.65,-53.11,50.0,68,69,18.01
129,Jizan,SA,2020-10-22 23:15:44,17.33,42.67,82.4,74,15,0.74
130,Linhares,BR,2020-10-22 23:15:44,-19.39,-40.07,70.95,91,72,7.63
131,Richards Bay,ZA,2020-10-22 23:15:44,-28.78,32.04,70.32,83,87,10.58
132,Yarmouth,US,2020-10-22 23:15:04,41.71,-70.23,63.0,77,1,8.48
133,Port Macquarie,AU,2020-10-22 23:15:44,-31.43,152.92,77.0,60,9,1.99
134,Kaitangata,NZ,2020-10-22 23:15:44,-46.28,169.85,61.09,52,85,7.27
135,Norman Wells,CA,2020-10-22 23:15:45,65.28,-126.83,21.2,92,20,3.36
136,Cabo San Lucas,MX,2020-10-22 23:15:45,22.89,-109.91,89.6,52,5,3.36
137,Adelaide,AU,2020-10-22 23:13:10,-34.93,138.6,68.0,72,0,5.82
138,Alofi,NU,2020-10-22 23:15:45,-19.06,-169.92,80.6,78,75,13.87
139,Esperance,AU,2020-10-22 23:15:45,-33.87,121.9,55.4,100,90,11.41
140,Clyde River,CA,2020-10-22 23:15:20,70.47,-68.59,14.0,85,90,4.7
141,Merauke,ID,2020-10-22 23:15:46,-8.47,140.33,80.69,75,11,8.97
142,Westport,US,2020-10-22 23:11:27,41.14,-73.36,66.99,90,18,3.56
143,Dicabisagan,PH,2020-10-22 23:15:46,17.08,122.42,81.05,77,97,2.95
144,Kuching,MY,2020-10-22 23:15:46,1.55,110.33,75.2,100,40,3.27
145,Raudeberg,NO,2020-10-22 23:15:46,61.99,5.14,42.01,68,1,19.37
146,Khatanga,RU,2020-10-22 23:15:46,71.97,102.5,2.1,91,25,7.56
147,Agadez,NE,2020-10-22 23:15:47,19.75,10.25,78.06,18,0,11.7
148,Mogadishu,SO,2020-10-22 23:12:24,2.04,45.34,79.9,86,38,15.61
149,Sorland,NO,2020-10-22 23:15:47,67.67,12.69,41.2,67,100,11.81
150,Ilulissat,GL,2020-10-22 23:15:47,69.22,-51.1,26.6,68,77,6.93
151,Berlevag,NO,2020-10-22 23:15:47,70.86,29.09,37.92,78,100,26.64
152,Cayenne,GF,2020-10-22 23:14:53,4.93,-52.33,80.6,88,0,4.7
153,Padang,ID,2020-10-22 23:14:10,-0.95,100.35,80.47,59,100,7.43
154,Constitucion,CL,2020-10-22 23:15:48,-35.33,-72.42,53.94,77,3,11.81
155,Sawakin,SD,2020-10-22 23:15:48,19.11,37.33,80.33,65,0,7.52
156,Hobart,AU,2020-10-22 23:11:43,-42.88,147.33,61.0,71,75,8.05
157,Pacific Grove,US,2020-10-22 23:15:48,36.62,-121.92,69.01,68,1,9.04
158,Airai,TL,2020-10-22 23:15:48,-8.93,125.41,68.36,81,60,0.31
159,Washington,US,2020-10-22 23:15:49,47.5,-120.5,54.0,42,31,3.4
160,Belaya Gora,RU,2020-10-22 23:15:49,68.53,146.42,10.58,91,100,2.71
161,Upernavik,GL,2020-10-22 23:15:49,72.79,-56.15,25.0,97,100,7.14
162,Cobija,BO,2020-10-22 23:15:49,-11.03,-68.77,86.0,70,75,11.41
163,Avera,US,2020-10-22 23:15:49,33.19,-82.53,75.2,88,75,4.7
164,Cedar City,US,2020-10-22 23:15:38,37.68,-113.06,71.6,15,1,9.17
165,Deputatskiy,RU,2020-10-22 23:15:50,69.3,139.9,-0.29,88,0,1.43
166,Mount Gambier,AU,2020-10-22 23:15:50,-37.83,140.77,55.4,100,90,4.7
